,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
19,67.7,80.1,86.6,19.1859185918592,15.2,21.9,22.1,5.9,Merton,Lower Morden
20,44.9,82.2,92.6,11.4674868189807,8.8,35.4,61.0,29.6,Kensington and Chelsea,Earl's Court
21,46.5,74.4,83.1,20.3596730245232,8.7,50.0,45.7,19.5,Hammersmith and Fulham,College Park and Old Oak
22,46.9,81.7,89.1,15.110870740941,10.2,18.8,53.4,21.6,Kensington and Chelsea,Redcliffe
23,55.1,80.8,84.4,20.8630759247242,14.8,29.8,27.2,8.2,Kingston upon Thames,Alexandra
24,66.9,79.7,83.6,17.7316466645043,15.8,25.4,29.6,7.7,Merton,Cannon Hill
25,30.9,89.9,93.4,11.4670981661273,13.2,30.4,59.6,23.9,Westminster,Knightsbridge and Belgravia
26,77.3,80.0,90.1,16.485175202156302,9.8,18.1,35.6,7.3,Merton,Dundonald
27,59.5,78.9,82.3,19.0516964572407,11.2,37.6,37.8,13.5,Kensington and Chelsea,St. Charles
28,40.7,80.7,95.1,10.7161916960188,11.3,24.0,43.9,15.9,Westminster,Warwick
29,47.3,80.7,87.3,19.250026632577,15.7,16.3,20.1,5.4,Richmond upon Thames,Hampton North
30,62.6,82.4,85.9,19.870639380765603,15.7,30.8,27.3,8.4,Kingston upon Thames,Old Malden
